cena, data
1084.3,01/10/2024 11:00:05
1084.3,01/10/2024 11:00:23
1084.3,01/10/2024 11:00:40
1084.3,01/10/2024 11:00:58
1084.3,01/10/2024 11:01:16
1084.3,01/10/2024 11:02:51
1084.3,01/10/2024 11:03:09
1110.99,03/10/2024 17:42:58
1078.22,04/10/2024 19:50:21
1078.22,04/10/2024 19:50:40
1078.22,04/10/2024 20:11:52
1078.22,04/10/2024 20:12:10
1078.22,04/10/2024 20:13:02
1078.23,04/10/2024 20:34:12
1078.23,04/10/2024 20:35:20
1078.23,04/10/2024 20:39:29
1078.23,04/10/2024 20:41:44
1078.23,04/10/2024 20:45:40
1078.96,05/10/2024 13:41:51
1078.73,07/10/2024 21:58:47
1052.97,13/10/2024 18:36:31
1052.97,13/10/2024 19:00:52
1052.97,13/10/2024 19:02:39
1052.97,13/10/2024 19:05:08
1053.82,13/10/2024 19:08:55
1053.82,14/10/2024 20:21:28
1053.82,14/10/2024 20:22:10
1053.82,14/10/2024 20:23:21
1053.82,14/10/2024 20:40:56
1053.82,14/10/2024 20:41:29
1053.82,15/10/2024 08:54:35
1053.82,15/10/2024 09:07:49
1053.82,15/10/2024 11:36:21
1265.0,17/10/2024 13:34:51
